"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"08/01/2021","28","PM10","","54-009-0011","AQS","28","."
"08/02/2021","39","PM2.5","","54-009-0005","AQS","13","39"
"08/03/2021","11","PM10","","54-009-0011","AQS","11","."
"08/04/2021","19","PM10","","54-009-0011","AQS","19","."
"08/05/2021","55","PM2.5","","54-009-0005","AQS","21","55"
"08/06/2021","30","PM10","","54-009-0011","AQS","30","."
"08/07/2021","32","PM10","","54-009-0011","AQS","32","."
"08/08/2021","60","PM2.5","","54-009-0005","AQS","31","60"
"08/09/2021","32","PM10","","54-009-0011","AQS","32","."
"08/10/2021","20","PM10","","54-009-0011","AQS","20","."
"08/11/2021","43","PM2.5","","54-009-0005","AQS","19","43"
"08/12/2021","22","PM10","","54-009-0011","AQS","22","."
"08/13/2021","19","PM10","","54-009-0011","AQS","19","."
"08/14/2021","30","PM2.5","","54-009-0011","AQS","11","30"
"08/15/2021","14","PM10","","54-009-0011","AQS","14","."
"08/16/2021","14","PM10","","54-009-0011","AQS","14","."
"08/17/2021","22","PM2.5","","54-009-0011","AQS","13","22"
"08/18/2021","7","PM10","","54-009-0011","AQS","7","."
"08/19/2021","16","PM10","","54-009-0011","AQS","16","."
"08/20/2021","42","PM2.5","","54-009-0005","AQS","12","42"
"08/21/2021","20","PM10","","54-009-0011","AQS","20","."
"08/22/2021","19","PM10","","54-009-0011","AQS","19","."
"08/23/2021","54","PM2.5","","54-009-0005","AQS","27","54"
"08/24/2021","27","PM10","","54-009-0011","AQS","27","."
"08/25/2021","29","PM10","","54-009-0011","AQS","29","."
"08/26/2021","48","PM2.5","","54-009-0011","AQS","21","48"
"08/27/2021","26","PM10","","54-009-0011","AQS","26","."
"08/28/2021","25","PM10","","54-009-0011","AQS","25","."
"08/29/2021","52","PM2.5","","54-009-0011","AQS","25","52"
"08/30/2021","16","PM10","","54-009-0011","AQS","16","."
"08/31/2021","14","PM10","","54-009-0011","AQS","14","."
"09/01/2021","18","PM2.5","","54-009-0011","AQS","5","18"
"09/02/2021","8","PM10","","54-009-0011","AQS","8","."
"09/03/2021","10","PM10","","54-009-0011","AQS","10","."
"09/04/2021","40","PM2.5","","54-009-0005","AQS","16","40"
"09/05/2021","13","PM10","","54-009-0011","AQS","13","."
"09/06/2021","17","PM10","","54-009-0011","AQS","17","."
"09/07/2021","51","PM2.5","","54-009-0011","AQS","24","51"
"09/08/2021","19","PM10","","54-009-0011","AQS","19","."
"09/09/2021","10","PM10","","54-009-0011","AQS","10","."
"09/10/2021","29","PM2.5","","54-009-0005","AQS","11","29"
"09/11/2021","19","PM10","","54-009-0011","AQS","19","."
"09/12/2021","20","PM10","","54-009-0011","AQS","20","."
"09/13/2021","57","PM2.5","","54-009-0005","AQS","30","57"
"09/14/2021","30","PM10","","54-009-0011","AQS","30","."
"09/15/2021","16","PM10","","54-009-0011","AQS","16","."
"09/16/2021","33","PM2.5","","54-009-0011","AQS","14","33"
"09/17/2021","20","PM10","","54-009-0011","AQS","20","."
"09/18/2021","22","PM10","","54-009-0011","AQS","22","."
"09/19/2021","46","PM2.5","","54-009-0005","AQS","14","46"
"09/20/2021","24","PM10","","54-009-0011","AQS","24","."
"09/21/2021","16","PM10","","54-009-0011","AQS","16","."
"09/22/2021","9","PM2.5","","54-009-0011","AQS","5","9"
"09/23/2021","4","PM10","","54-009-0011","AQS","4","."
"09/24/2021","14","PM10","","54-009-0011","AQS","14","."
"09/25/2021","41","PM2.5","","54-009-0011","AQS","19","41"
"09/26/2021","14","PM10","","54-009-0011","AQS","14","."
"09/27/2021","21","PM10","","54-009-0011","AQS","21","."
"09/28/2021","44","PM2.5","","54-009-0005","AQS","20","44"
"09/29/2021","11","PM10","","54-009-0011","AQS","11","."
"09/30/2021","9","PM10","","54-009-0011","AQS","9","."
"10/01/2021","23","PM2.5","","54-009-0011","AQS","12","23"
"10/02/2021","21","PM10","","54-009-0011","AQS","21","."
"10/03/2021","21","PM10","","54-009-0011","AQS","21","."
"10/04/2021","27","PM2.5","","54-009-0011","AQS","12","27"
"10/05/2021","13","PM10","","54-009-0011","AQS","13","."
"10/07/2021","23","PM2.5","","54-009-0005","AQS","11","23"
"10/08/2021","13","PM10","","54-009-0011","AQS","13","."
"10/09/2021","12","PM10","","54-009-0011","AQS","12","."
"10/10/2021","20","PM2.5","","54-009-0005","AQS","10","20"
"10/11/2021","11","PM10","","54-009-0011","AQS","11","."
"10/12/2021","16","PM10","","54-009-0011","AQS","16","."
"10/13/2021","43","PM2.5","","54-009-0005","AQS","19","43"
"10/14/2021","26","PM10","","54-009-0011","AQS","26","."
"10/15/2021","22","PM10","","54-009-0011","AQS","22","."
"10/16/2021","29","PM2.5","","54-009-0005","AQS","9","29"
"10/17/2021","9","PM10","","54-009-0011","AQS","9","."
"10/18/2021","10","PM10","","54-009-0011","AQS","10","."
"10/19/2021","40","PM2.5","","54-009-0011","AQS","22","40"
"10/20/2021","22","PM10","","54-009-0011","AQS","22","."
"10/21/2021","20","PM10","","54-009-0011","AQS","20","."
"10/22/2021","13","PM2.5","","54-009-0005","AQS","8","13"
"10/23/2021","9","PM10","","54-009-0011","AQS","9","."
"10/24/2021","13","PM10","","54-009-0011","AQS","13","."
"10/25/2021","32","PM2.5","","54-009-0005","AQS","12","32"
"10/26/2021","4","PM10","","54-009-0011","AQS","4","."
"10/27/2021","6","PM10","","54-009-0011","AQS","6","."
"10/28/2021","23","PM2.5","","54-009-0005","AQS","11","23"
"10/29/2021","5","PM10","","54-009-0011","AQS","5","."
"10/30/2021","11","PM10","","54-009-0011","AQS","11","."
"10/31/2021","34","PM2.5","","54-009-0005","AQS","9","34"
"11/01/2021","6","PM10","","54-009-0011","AQS","6","."
"11/02/2021","9","PM10","","54-009-0011","AQS","9","."
"11/03/2021","22","PM2.5","","54-009-0005","AQS","7","22"
"11/04/2021","12","PM10","","54-009-0011","AQS","12","."
