"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"10/10/2013","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","."
"10/11/2013","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","."
"10/12/2013","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","."
"10/13/2013","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","."
"10/14/2013","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","."
"10/15/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","."
"10/16/2013","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","."
"10/17/2013","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","."
"10/18/2013","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","84","."
"10/19/2013","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","93","."
"10/20/2013","67","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","67","."
"10/21/2013","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","93","."
"10/22/2013","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","71","."
"10/23/2013","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","71","."
"10/24/2013","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","."
"10/25/2013","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","61","9"
"10/26/2013","67","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","67","."
"10/27/2013","58","Ozone","Echo Summit","06-017-0012","AQS","58","."
"10/28/2013","32","Ozone","Echo Summit","06-017-0012","AQS","32","2"
"10/29/2013","35","Ozone","Echo Summit","06-017-0012","AQS","35","."
"10/30/2013","40","Ozone","Echo Summit","06-017-0012","AQS","40","."
"10/31/2013","38","Ozone","Echo Summit","06-017-0012","AQS","38","19"
"11/01/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","."
"11/02/2013","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","."
"11/03/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","12"
"11/04/2013","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"11/05/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"11/06/2013","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","9"
"11/07/2013","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","."
"11/08/2013","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","."
"11/09/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","4"
"11/10/2013","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","61","."
"11/11/2013","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","."
"11/12/2013","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","10"
"11/13/2013","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","."
"11/14/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","."
"11/15/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","8"
"11/16/2013","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","."
"11/17/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"11/18/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","10"
"11/19/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"11/20/2013","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","."
"11/21/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","9"
"11/22/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"11/23/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"11/24/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","5"
"11/25/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"11/26/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"11/27/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","10"
"11/28/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"11/29/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"11/30/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","6"
"12/01/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"12/02/2013","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","."
"12/03/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","2"
"12/04/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
