"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"10/01/2005","97","Ozone","Echo Summit","06-017-0012","AQS","2","97","12","17"
"10/02/2005","42","Ozone","Echo Summit","06-017-0012","AQS","1","42",".","."
"10/03/2005","40","Ozone","Echo Summit","06-017-0012","AQS","1","40",".","."
"10/04/2005","41","Ozone","Echo Summit","06-017-0012","AQS","1","41",".","5"
"10/05/2005","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","45",".","."
"10/06/2005","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","77",".","."
"10/07/2005","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","84","17","12"
"10/08/2005","71","Ozone","Echo Summit","06-017-0012","AQS","1","71",".","."
"10/09/2005","48","Ozone","Echo Summit","06-017-0012","AQS","2","48",".","."
"10/10/2005","64","Ozone","Cool","06-017-0020","AQS","2","64",".","7"
"10/11/2005","108","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","108",".","."
"10/12/2005","74","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","74",".","."
"10/13/2005","140","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","140","21","13"
"10/14/2005","108","Ozone","Cool","06-017-0020","AQS","2","108",".","."
"10/15/2005","61","Ozone","Echo Summit","06-017-0012","AQS","2","61",".","."
"10/16/2005","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","46",".","6"
"10/17/2005","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","77",".","."
"10/18/2005","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","49",".","."
"10/19/2005","45","Ozone","Echo Summit","06-017-0012","AQS","2","45","14","29"
"10/20/2005","44","Ozone","Echo Summit","06-017-0012","AQS","2","44",".","."
"10/21/2005","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","51",".","."
"10/22/2005","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","84",".","52"
"10/23/2005","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","84",".","."
"10/24/2005","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","71",".","."
"10/25/2005","43","Ozone","South Lake Tahoe-Airport","06-017-0013","AQS","3","43","14","12"
"10/26/2005","38","Ozone","Echo Summit","06-017-0012","AQS","2","38",".","."
"10/27/2005","36","Ozone","South Lake Tahoe-Airport","06-017-0013","AQS","2","36",".","."
"10/28/2005","34","Ozone","South Lake Tahoe-Airport","06-017-0013","AQS","2","34",".","3"
"10/29/2005","36","Ozone","South Lake Tahoe-Airport","06-017-0013","AQS","3","36",".","."
"10/30/2005","36","Ozone","Echo Summit","06-017-0012","AQS","2","36",".","."
"10/31/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","35","28","21"
"11/01/2005","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","48",".","."
"11/02/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","31",".","."
"11/03/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","35",".","21"
"11/04/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","35",".","."
"11/05/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","35",".","."
"11/06/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","29","10","2"
"11/07/2005","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","22",".","."
"11/08/2005","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","24",".","."
"11/09/2005","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","26",".","9"
"11/10/2005","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","26",".","."
"11/11/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","33",".","."
"11/12/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","29","23","5"
"11/13/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","33",".","."
"11/14/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","30",".","."
"11/15/2005","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","38",".","5"
"11/16/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","37",".","."
"11/17/2005","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","41",".","."
"11/18/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","39","31","5"
"11/19/2005","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","45",".","."
"11/20/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","43",".","."
"11/21/2005","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","38",".","11"
