"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"11/28/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","6","."
"11/29/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","6","7"
"11/30/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","12","."
"12/01/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","6","."
"12/02/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","6","10"
"12/03/2019","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","9","."
"12/04/2019","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","7","."
"12/05/2019","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","15","."
"12/06/2019","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","10","."
"12/07/2019","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","2","."
"12/08/2019","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","6","7"
"12/09/2019","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","6","."
"12/10/2019","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","22","11","."
"12/11/2019","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","4","6"
"12/12/2019","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","3","."
"12/13/2019","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","3","."
"12/14/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","4","4"
"12/15/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","7","."
"12/16/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","12","."
"12/17/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","16","22"
"12/18/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","10","."
"12/19/2019","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","15","."
"12/20/2019","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","9","13"
"12/21/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","8","."
"12/22/2019","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","9","."
"12/23/2019","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","24","6","10"
"12/24/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","6","."
"12/25/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","9","."
"12/26/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","7","10"
"12/27/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","24","."
"12/28/2019","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","29","."
"12/29/2019","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","6","15"
"12/30/2019","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","6","."
"12/31/2019","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","16","."
