"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/20/2017","39","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/21/2017","48","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/22/2017","56","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/23/2017","44","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/24/2017","49","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/25/2017","58","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/26/2017","61","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"08/27/2017","50","Ozone","El Centro-9th Street","06-025-1003","AQS"
"08/28/2017","60","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/29/2017","73","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/30/2017","87","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/31/2017","64","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/01/2017","63","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"09/02/2017","102","PM10","El Centro-9th Street","06-025-1003","AQS"
"09/03/2017","34","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"09/04/2017","119","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/05/2017","112","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/06/2017","136","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/07/2017","88","PM10","Westmorland","06-025-4003","AQS"
"09/08/2017","75","PM10","Westmorland","06-025-4003","AQS"
"09/09/2017","44","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"09/10/2017","77","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/11/2017","67","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/12/2017","64","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/13/2017","115","PM10","Westmorland","06-025-4003","AQS"
"09/14/2017","111","PM10","Westmorland","06-025-4003","AQS"
"09/15/2017","77","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/16/2017","64","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/17/2017","61","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/18/2017","67","Ozone","El Centro-9th Street","06-025-1003","AQS"
"09/19/2017","77","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/20/2017","67","Ozone","El Centro-9th Street","06-025-1003","AQS"
"09/21/2017","160","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"09/22/2017","43","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/23/2017","48","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/24/2017","44","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/25/2017","44","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/26/2017","47","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/27/2017","59","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"09/28/2017","63","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"09/29/2017","61","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"09/30/2017","90","Ozone","El Centro-9th Street","06-025-1003","AQS"
"10/01/2017","77","Ozone","El Centro-9th Street","06-025-1003","AQS"
"10/02/2017","64","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"10/03/2017","90","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"10/04/2017","61","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"10/05/2017","74","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/06/2017","55","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/07/2017","54","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/08/2017","78","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/09/2017","89","PM10","Westmorland","06-025-4003","AQS"
"10/10/2017","49","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/11/2017","62","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/12/2017","75","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/13/2017","72","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/14/2017","64","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"10/15/2017","48","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"10/16/2017","74","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/17/2017","88","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/18/2017","85","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/19/2017","86","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/20/2017","300","PM10","Brawley-220 Main Street","06-025-0007","AQS"
"10/21/2017","47","PM10","Westmorland","06-025-4003","AQS"
"10/22/2017","44","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"10/23/2017","45","PM10","Westmorland","06-025-4003","AQS"
"10/24/2017","46","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/25/2017","55","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/26/2017","89","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/27/2017","69","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"10/28/2017","66","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/29/2017","67","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"10/30/2017","47","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"10/31/2017","44","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/01/2017","42","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/02/2017","38","Ozone","El Centro-9th Street","06-025-1003","AQS"
"11/03/2017","36","Ozone","El Centro-9th Street","06-025-1003","AQS"
"11/04/2017","49","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/05/2017","31","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"11/06/2017","56","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/07/2017","38","PM10","Niland-English Road","06-025-4004","AQS"
"11/08/2017","47","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/09/2017","38","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/10/2017","63","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/11/2017","56","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/12/2017","58","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/13/2017","66","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/14/2017","56","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/15/2017","74","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/16/2017","66","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/17/2017","38","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/18/2017","43","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/19/2017","54","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/20/2017","47","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/21/2017","60","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/22/2017","58","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/23/2017","46","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/24/2017","77","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"11/25/2017","72","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/26/2017","72","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/27/2017","95","PM10","Brawley-220 Main Street","06-025-0007","AQS"
"11/28/2017","53","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/29/2017","71","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"11/30/2017","64","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/01/2017","74","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/02/2017","86","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/03/2017","126","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/04/2017","44","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/05/2017","51","PM10","Westmorland","06-025-4003","AQS"
"12/06/2017","37","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/07/2017","64","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/08/2017","98","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/09/2017","80","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/10/2017","31","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"12/11/2017","64","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/12/2017","56","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/13/2017","87","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/14/2017","77","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/15/2017","90","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/16/2017","104","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/17/2017","35","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/18/2017","77","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/19/2017","123","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/20/2017","108","PM10","Westmorland","06-025-4003","AQS"
"12/21/2017","73","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"12/22/2017","82","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/23/2017","64","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/24/2017","75","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/25/2017","238","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/26/2017","97","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/27/2017","79","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/28/2017","67","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/29/2017","78","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/30/2017","134","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"12/31/2017","129","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/01/2018","169","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/02/2018","62","NO2","Calexico-Ethel Street","06-025-0005","AQS"
