"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/07/2008","59","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/08/2008","53","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/09/2008","48","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/10/2008","49","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/11/2008","41","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/12/2008","48","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/13/2008","35","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/14/2008","35","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/15/2008","36","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/16/2008","38","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/17/2008","38","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/18/2008","37","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/19/2008","33","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/20/2008","39","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/21/2008","42","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/22/2008","45","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/23/2008","44","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/24/2008","44","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/25/2008","36","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/26/2008","40","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/27/2008","40","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/28/2008","37","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/29/2008","31","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/30/2008","39","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/31/2008","42","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/01/2008","41","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/02/2008","44","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/03/2008","45","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/04/2008","38","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/05/2008","38","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/06/2008","42","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/07/2008","45","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/08/2008","38","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/09/2008","44","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/10/2008","44","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/11/2008","54","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/12/2008","61","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/13/2008","84","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/14/2008","48","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/15/2008","44","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/16/2008","44","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/17/2008","64","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/18/2008","93","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/19/2008","49","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/20/2008","48","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/21/2008","49","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/22/2008","50","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/23/2008","46","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/24/2008","49","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/25/2008","48","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/26/2008","45","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/27/2008","48","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"04/28/2008","44","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/29/2008","54","Ozone","Colfax-City Hall","06-061-0004","AQS"
"04/30/2008","48","Ozone","Colfax-City Hall","06-061-0004","AQS"
"05/01/2008","46","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
"05/02/2008","51","Ozone","Colfax-City Hall","06-061-0004","AQS"
"05/03/2008","77","Ozone","Colfax-City Hall","06-061-0004","AQS"
"05/04/2008","56","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"05/05/2008","84","Ozone","Colfax-City Hall","06-061-0004","AQS"
"05/06/2008","90","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS"
