"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/26/2005","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/27/2005","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/28/2005","54","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/29/2005","22","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/30/2005","46","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/01/2005","46","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/02/2005","30","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/03/2005","21","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/04/2005","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/05/2005","51","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/06/2005","84","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/07/2005","80","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/08/2005","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/09/2005","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/10/2005","67","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/11/2005","50","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/12/2005","35","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/13/2005","46","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/14/2005","46","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/15/2005","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/16/2005","48","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/17/2005","101","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/18/2005","49","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/19/2005","46","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/20/2005","51","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/21/2005","54","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/22/2005","97","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/23/2005","58","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/24/2005","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/25/2005","47","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/26/2005","41","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/27/2005","29","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/28/2005","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/29/2005","37","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/30/2005","39","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"05/31/2005","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/01/2005","40","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/02/2005","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/03/2005","67","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/04/2005","39","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/05/2005","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/06/2005","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/07/2005","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/08/2005","36","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/09/2005","43","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/10/2005","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/11/2005","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/12/2005","48","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/13/2005","36","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/15/2005","22","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/16/2005","67","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/17/2005","50","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/18/2005","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/19/2005","77","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/20/2005","77","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/21/2005","74","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"06/22/2005","93","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
