date,california,texas,n_dakota,wyoming,pennsylvania,w_virginia,oklahoma,florida,new_york,ohio
2005/12/31,59.52995392,41.5483871,27.8172043,34.72580645,55.36021505,28.50806452,27.91397849,45.36129032,41.72903226,40.34946237
2006/1/31,51.71428571,39.32258065,29.16129032,36.25,45.1344086,32.11827957,29.96774194,44.41935484,40.26451613,30.79032258
2006/2/28,51.78571429,44.29761905,35.41666667,49.65178571,46.61904762,36.02678571,34.73214286,47.29285714,44.13214286,38.74107143
2006/3/31,45.51612903,51.3172043,40.95698925,47.83064516,43.65053763,38.56989247,44.02150538,60.45806452,44.58387097,39.25537634
2006/4/30,51.2,54.66111111,45.81111111,53.70833333,49.55555556,44.86944444,52.53333333,59.97333333,47.47333333,54.60833333
2006/5/31,75.75576037,58.03763441,43.93548387,54.06451613,62.02688172,48.5483871,51.29032258,66.3483871,54.01129032,61.03225806
2006/6/30,85.06666667,77.63333333,48.02222222,49.61111111,62.77222222,52.5,83.67777778,63.42,56.74666667,70.53333333
2006/7/31,89.96774194,44.96774194,50,49.34677419,77.48387097,62.06451613,65.10752688,48.25806452,76.69032258,80.4516129
2006/8/31,85.02764977,53.29247312,49.94623656,52.39784946,71.91935484,60.16129032,63.25268817,48.72741935,57.8516129,73.77419355
2006/9/30,74.25238095,61.32222222,34.8,38.96666667,46.72777778,39.17222222,55.62222222,51.54666667,41.05,45.20833333
2006/10/31,56.00921659,46.90860215,30.12903226,31.77419355,41.52150538,34.97580645,38.01075269,49.75483871,36.73548387,35.88709677
2006/11/30,49.1047619,41.74444444,28.2,33.67777778,48.87777778,40.69722222,31.00555556,48.00666667,38.61333333,38.90833333
2006/12/31,57.30875576,36.25806452,26.84946237,35.62365591,46.70967742,35.97580645,26.53225806,42.42580645,38.68870968,33.83064516
2007/1/31,56.96774194,34.18817204,30.67741935,36.84946237,43.8172043,32.23655914,26.96774194,38.93709677,44.63225806,30.36290323
2007/2/28,47.87244898,44.52380952,34.6547619,37.14285714,50.01785714,37.84821429,34.73809524,53.64285714,45.3,37.97321429
2007/3/31,48.94009217,44,36.20430108,40.95967742,46.30645161,41.06451613,40.83870968,53.56129032,46.13548387,45.08870968
2007/4/30,54.93809524,54.29444444,41.46666667,43.85833333,50.31111111,42.50833333,48.1,63.91333333,43.76666667,52.975
2007/5/31,72.15668203,57.83655914,39.84946237,46.95430108,70.91935484,58.24193548,46.02150538,76.00645161,58.77419355,88.18548387
2007/6/30,73.08571429,48.66666667,39.28333333,50.75,72.70555556,58.50833333,40.37777778,51.96,62.42166667,80.35
2007/7/31,67.66820276,46.37956989,43.29032258,50.44354839,72.5,53.0483871,42.19892473,50.16129032,67.69677419,66.91129032
2007/8/31,71.77419355,51.46236559,37.84408602,50.95967742,73.29569892,64.92741935,50.76344086,54.13548387,62.26451613,81.07258065
2007/9/30,67.14761905,50.47222222,32.63333333,43.675,61.24444444,54.325,49.74444444,41.12,48.38,77.53333333
2007/10/31,54.37327189,50.54301075,28.93548387,35.46774194,46.02688172,39.72580645,43.56989247,40.12903226,42.34193548,46.78225806
2007/11/30,53.49047619,41.14444444,25.48333333,46.01111111,47.32777778,34.84166667,32.45555556,49.92666667,41.08666667,38.87222222
2007/12/31,50.07834101,36.77956989,29.35483871,35.13709677,48.67204301,34.91666667,27.58064516,40.98709677,44.97419355,38.47580645
2008/1/31,47.52995392,35.79032258,33.05376344,38.2016129,51.09677419,35.62365591,30.46236559,42.73548387,47.93548387,39.72580645
2008/2/29,47.38423645,41.72988506,36.33333333,50.82758621,52.49425287,36.92528736,33.12643678,46.66206897,48.08448276,40.46551724
2008/3/31,48.85714286,49.83333333,38.41935484,48.25806452,44.92580645,39.25806452,42.61290323,52.78709677,45.71612903,38.69623656
2008/4/30,61.33333333,55.7,46.25555556,55.25,56.86111111,44.275,50.65555556,53.9,51.32,56.85833333
2008/5/31,64.00460829,58.70537634,44.19354839,49.78225806,56.31182796,45.37096774,49.49462366,60.92258065,47.69677419,56.52419355
2008/6/30,89.2047619,42.55555556,39.58888889,44.21666667,70,48.00833333,42.11111111,48.90666667,70.31333333,63.7
2008/7/31,90.56682028,48.10645161,43.90322581,49.10483871,78.47311828,56.62096774,45.70967742,48.07741935,79.6,75.46774194
2008/8/31,67.82488479,50.12365591,38.96774194,45.20967742,53.88172043,44.53225806,48.75268817,47.57419355,47.8516129,62.84677419
2008/9/30,72.64285714,60.41944444,33.65555556,38.84166667,48.33888889,43,46.58888889,43.00666667,39.87333333,60.68888889
2008/10/31,56.38709677,45.73978495,30.16129032,36.08064516,38.67204301,32.38709677,42.87096774,41.17419355,36.43870968,38.47580645
2008/11/30,48.94761905,40.16777778,27.37777778,33.60833333,42.45555556,36.13611111,32.71111111,42.33333333,37.25333333,35.46666667
2008/12/31,50.88479263,37.36021505,26.82795699,35.25806452,38.43548387,29.26344086,27.05376344,38.47096774,40.82580645,28.91129032
2009/1/31,51.89938556,39.87096774,33.15053763,38.5,52.48387097,38.83333333,42.6344086,43.19354839,50.09032258,39.63978495
2009/2/28,43.48469388,42.22619048,34.89285714,42,47.64285714,39.96130952,48.46428571,48.95714286,45.85,38.125
2009/3/31,49.80184332,46.87634409,41.34408602,46.76612903,49.52365591,37.76075269,53.87096774,46.28387097,46.68387097,39.59139785
2009/4/30,58.69047619,55.41666667,42.18888889,47.725,53.60555556,40.89166667,54.27777778,52.94,53.02666667,50.95
2009/5/31,65.60829493,61.98387097,41.35483871,42.45967742,54.75268817,37.7688172,51.40322581,39.76774194,48.99354839,58.63709677
2009/6/30,59.87619048,48.24444444,40.68888889,37.76666667,50.21111111,45.53055556,58.3,54.52,43.12,66.38333333
2009/7/31,73.78801843,55.09784946,32.52150538,40.48387097,55.44086022,41.30645161,62.43010753,51.21935484,49.67096774,48.66129032
2009/8/31,75.29032258,47.81182796,34.41935484,42.62096774,58.48387097,46.62096774,51.83870968,45.95483871,55.34193548,52.34677419
2009/9/30,74.19047619,46.47222222,37.17777778,43.38333333,41.70555556,38.96666667,52.9,35.53333333,35.88666667,45.89166667
2009/10/31,51.14285714,35.33870968,20.86021505,31.28225806,36.80645161,31.03225806,28.7311828,36.49677419,32.87096774,35.98387097
2009/11/30,48.66666667,42.66666667,28.42222222,37.16666667,43.16111111,38.97777778,44.87777778,41.65333333,36.46,39.475
2009/12/31,54.046851,32.29569892,28.94623656,38.58870968,44.21505376,34.2311828,37.4516129,38.15483871,40.56129032,35.35483871
2010/1/31,50.93548387,38.8172043,33.12365591,39.07258065,48.01612903,35.03494624,42.34408602,44.72903226,45.34193548,56.14516129
2010/2/28,42.91326531,38.5952381,42.60714286,38.10714286,48.60714286,40.0922619,45.01190476,43.01428571,41.87142857,62.23214286
2010/3/31,47.17050691,44.66666667,40.75268817,44.31451613,43.69354839,37.9327957,44.37634409,53.70967742,45.3483871,58.35483871
2010/4/30,51.3,50.00111111,48.05555556,52.425,55.44444444,48.24166667,52.35555556,55.24,51.78666667,69.425
2010/5/31,55.04608295,54.72043011,42.92473118,46.58064516,55.67741935,41.4811828,50.03225806,47.13548387,51.27096774,65.75806452
2010/6/30,62.14761905,38.57722222,38.72222222,47.28611111,63.96111111,44.73333333,50.64444444,47.84666667,57.25333333,58.7
2010/7/31,69.75115207,40.02903226,41.68817204,46.25,71.88172043,54.4327957,48.53763441,48.58709677,66.87741935,71.37903226
2010/8/31,69.48387097,51.8172043,45.10215054,44.68548387,67.09677419,50.66935484,62.46236559,38.6,54.28387097,77.24193548
2010/9/30,71.85238095,45.56111111,28.98888889,44.525,55.21111111,40.575,45.76666667,41.31333333,43.83333333,54.4
2010/10/31,52.98156682,58.01075269,38.69892473,36.21774194,42.02688172,33.2311828,47.47311828,53.06451613,34.37419355,50.27419355
2010/11/30,45.95238095,36.77222222,33.71111111,31.975,48.32222222,37.65277778,37.62222222,40.07333333,35.76666667,53.51388889
2010/12/31,45.92626728,42.12365591,38,33.76344086,47.28494624,33.59677419,45.07526882,44.47096774,43.12903226,52
2011/1/31,49.24884793,37.87634409,35.52688172,36.40322581,60.74731183,36.90860215,45.74193548,42.77419355,51.83870968,58.1155914
2011/2/28,44.47789116,40.57738095,40.23809524,44.51785714,52.5,35.83928571,45.75,44.1,46.80714286,47.52678571
2011/3/31,43.79723502,49.20430108,45.22580645,52.24193548,42.81182796,31.98387097,61.76344086,50.2516129,40.76129032,46.24462366
2011/4/30,47.51904762,62.36666667,43.50555556,45.05833333,48.23888889,34.68888889,60.54444444,48.57333333,43.9,53.70833333
2011/5/31,56.85714286,61.19784946,41.13978495,47.25806452,54.35483871,41.2016129,59.87096774,53.8516129,44.48387097,56.50806452
2011/6/30,65.15714286,46.02222222,40.86666667,50.06666667,68.22777778,50.225,66.38333333,54.745,58.74,73.79166667
2011/7/31,61.14285714,41.04301075,37.49462366,43.87903226,76.96236559,59.14784946,64.83870968,42.60645161,73.13548387,88.04032258
2011/8/31,73.19815668,54.02150538,38.34408602,49.79032258,54.95698925,49.04569892,80.23655914,52.50967742,48.87096774,69.48387097
2011/9/30,70.36190476,71.68555556,36.36666667,38.83333333,44.37777778,38.33333333,61.94444444,41.48666667,39.5,54.73333333
2011/10/31,50.31797235,50.13978495,36.30645161,33.66129032,41.10215054,30.41129032,51.3172043,40.52903226,34.66451613,48.00806452
2011/11/30,48,38.58333333,30.8,35.04166667,48.09444444,34.52222222,36.05555556,35.95333333,42.82,41.86666667
2011/12/31,56.9562212,34.01075269,27.77419355,38.01612903,52.88172043,34.2688172,38,36.09032258,43.78064516,46.5483871
2012/1/31,48.16589862,37.44623656,29.86021505,41.08064516,46.35913978,31.35752688,35.82795699,40.78709677,42.96774194,44.30913978
2012/2/29,43.23891626,36.94252874,35.09195402,38.45689655,53.04022989,36.24712644,42.48275862,39.73103448,43.49655172,48.95977011
2012/3/31,44.76497696,44.12580645,38.8172043,43.63709677,51.04301075,35.61021505,47.58064516,43.78709677,41.87096774,50.65053763
2012/4/30,50.27142857,55.39444444,40.92222222,48.40833333,50.42222222,38.125,50.88888889,53.85333333,44.93333333,52.88333333
2012/5/31,70.08294931,53.40322581,43.87096774,53.15322581,57.94086022,45.76075269,60.68817204,46.36774194,48.36774194,78.45967742
2012/6/30,66.08095238,53.71666667,45.58333333,63.85,65.58333333,48.25,63.58888889,45.34,58.45333333,86.06666667
2012/7/31,72.92626728,48.2688172,48.64516129,54.82258065,70.49462366,52.33870968,67.96236559,46.8516129,63.75483871,82.66935484
2012/8/31,74.83870968,52,39.70967742,57.91935484,65.79569892,49.05107527,77.28494624,40.53548387,61.14193548,79.87096774
