"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/28/2016","41","NO2","Dallas North #2","48-113-0075","AQS","7","26","38","41"
"01/29/2016","38","NO2","Dallas North #2","48-113-0075","AQS","8","37","31","38"
"01/30/2016","43","Ozone","Dallas North #2","48-113-0075","AQS","3","43","24","27"
"01/31/2016","35","Ozone","Dallas Hinton","48-113-0069","AQS","2","35","24","18"
"02/01/2016","54","PM2.5","Dallas Hinton","48-113-0069","AQS","3","39","54","29"
"02/02/2016","34","Ozone","Dallas North #2","48-113-0075","AQS","3","34","18","29"
"02/03/2016","34","Ozone","Dallas North #2","48-113-0075","AQS","2","34","14","27"
"02/04/2016","39","NO2","Dallas North #2","48-113-0075","AQS","7","31","38","39"
"02/05/2016","40","PM2.5","Dallas Hinton","48-113-0069","AQS","5","38","40","32"
"02/06/2016","52","PM2.5","Dallas Hinton","48-113-0069","AQS","7","41","52","42"
"02/07/2016","53","PM2.5","Dallas Hinton","48-113-0069","AQS","8","40","53","44"
"02/08/2016","35","Ozone","Dallas North #2","48-113-0075","AQS","5","35","6","16"
"02/09/2016","36","Ozone","Dallas North #2","48-113-0075","AQS","3","36","10","29"
"02/10/2016","35","Ozone","Dallas Hinton","48-113-0069","AQS","7","35","23","35"
"02/11/2016","58","NO2","Dallas LBJ Freeway","48-113-1067","AQS","8","39","33","58"
"02/12/2016","59","PM2.5","Dallas Hinton","48-113-0069","AQS","9","39","59","42"
"02/13/2016","58","PM2.5","Dallas Hinton","48-113-0069","AQS","5","43","58","17"
"02/14/2016","31","Ozone","Dallas Hinton","48-113-0069","AQS","3","31","24","26"
"02/15/2016","40","NO2","Dallas Hinton","48-113-0069","AQS","7","38","36","40"
"02/16/2016","38","NO2","Dallas LBJ Freeway","48-113-1067","AQS","8","36","17","38"
"02/17/2016","37","Ozone","Dallas North #2","48-113-0075","AQS","3","37","28","31"
"02/18/2016","45","Ozone","Dallas North #2","48-113-0075","AQS","3","45","32","25"
"02/19/2016","38","Ozone","Dallas North #2","48-113-0075","AQS","3","38","29","11"
"02/20/2016","29","PM2.5","Dallas Hinton","48-113-0069","AQS","3","24","29","7"
"02/21/2016","45","PM2.5","Convention Center","48-113-0050","AQS",".","26","45","14"
"02/22/2016","30","PM2.5","Dallas Hinton","48-113-0069","AQS","2","26","30","20"
"02/23/2016","31","Ozone","Dallas Hinton","48-113-0069","AQS","2","31","22","18"
"02/24/2016","38","NO2","Dallas LBJ Freeway","48-113-1067","AQS",".","35","15","38"
"02/25/2016","36","Ozone","Dallas Hinton","48-113-0069","AQS","2","36","12","30"
"02/26/2016","32","Ozone","Dallas Hinton","48-113-0069","AQS","6","32","30","31"
"02/27/2016","61","Ozone","Dallas North #2","48-113-0075","AQS","5","61","34","26"
"02/28/2016","37","Ozone","Dallas North #2","48-113-0075","AQS","5","37","25","33"
"02/29/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","7","40","43","29"
"03/01/2016","39","Ozone","Dallas Hinton","48-113-0069","AQS","3","39","22","25"
"03/02/2016","44","Ozone","Dallas North #2","48-113-0075","AQS","3","44","20","32"
"03/03/2016","41","Ozone","Dallas Hinton","48-113-0069","AQS","3","41","28","32"
"03/04/2016","43","NO2","Dallas LBJ Freeway","48-113-1067","AQS","8","40","40","43"
"03/05/2016","64","Ozone","Dallas North #2","48-113-0075","AQS","6","64","46","40"
"03/06/2016","46","Ozone","Dallas North #2","48-113-0075","AQS","5","46","35","20"
"03/07/2016","37","Ozone","Dallas North #2","48-113-0075","AQS","2","37","30","10"
"03/08/2016","29","Ozone","Dallas North #2","48-113-0075","AQS","2","29","17","25"
"03/09/2016","29","Ozone","Dallas Hinton","48-113-0069","AQS","2","29","12","23"
"03/10/2016","23","Ozone","Dallas North #2","48-113-0075","AQS","3","23","17","17"
"03/11/2016","19","Ozone","Dallas Hinton","48-113-0069","AQS","3","19","8","10"
"03/12/2016","44","Ozone","Dallas North #2","48-113-0075","AQS","3","44","22","21"
"03/13/2016","43","Ozone","Dallas North #2","48-113-0075","AQS","5","43","25","25"
"03/14/2016","46","Ozone","Dallas North #2","48-113-0075","AQS","6","46","27","29"
"03/15/2016","42","Ozone","Dallas Hinton","48-113-0069","AQS","3","42","25","22"
"03/16/2016","48","Ozone","Dallas North #2","48-113-0075","AQS","3","48","22","38"
"03/17/2016","35","Ozone","Dallas North #2","48-113-0075","AQS","3","35","23","21"
"03/18/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","3","31","43","20"
"03/19/2016","39","Ozone","Dallas Hinton","48-113-0069","AQS","2","39","18","21"
"03/20/2016","37","Ozone","Dallas Hinton","48-113-0069","AQS","3","37","15","28"
"03/21/2016","43","Ozone","Dallas North #2","48-113-0075","AQS","7","43","23","30"
"03/22/2016","46","Ozone","Dallas North #2","48-113-0075","AQS","2","46","24","10"
"03/23/2016","40","Ozone","Dallas Hinton","48-113-0069","AQS","2","40","29","6"
"03/24/2016","38","Ozone","Dallas Hinton","48-113-0069","AQS","3","38","16","30"
"03/25/2016","74","NO2","Dallas Hinton","48-113-0069","AQS","8","47","35","74"
"03/26/2016","54","Ozone","Dallas North #2","48-113-0075","AQS","3","54","40","16"
"03/27/2016","36","Ozone","Dallas Hinton","48-113-0069","AQS","3","36","29","21"
"03/28/2016","40","Ozone","Dallas North #2","48-113-0075","AQS","5","40","20","30"
"03/29/2016","39","Ozone","Dallas North #2","48-113-0075","AQS","3","39","37","25"
"03/30/2016","27","PM2.5","Dallas Hinton","48-113-0069","AQS","2","26","27","10"
"03/31/2016","40","Ozone","Dallas Hinton","48-113-0069","AQS","2","40","31","25"
"04/01/2016","35","Ozone","Dallas Hinton","48-113-0069","AQS","2","35","17","25"
"04/02/2016","44","Ozone","Dallas Hinton","48-113-0069","AQS","5","44","25","37"
"04/03/2016","46","Ozone","Dallas North #2","48-113-0075","AQS","6","46","28","26"
"04/04/2016","58","Ozone","Dallas North #2","48-113-0075","AQS","3","58","26","34"
"04/05/2016","54","Ozone","Dallas Hinton","48-113-0069","AQS","6","54","34","31"
"04/06/2016","42","Ozone","Dallas North #2","48-113-0075","AQS","3","42","26","35"
"04/07/2016","51","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","3","51","28","32"
"04/08/2016","45","Ozone","Dallas Hinton","48-113-0069","AQS","3","45","26","37"
"04/09/2016","47","PM2.5","Dallas Hinton","48-113-0069","AQS","3","41","47","20"
"04/10/2016","37","Ozone","Dallas Hinton","48-113-0069","AQS","3","37","36","5"
"04/11/2016","36","PM2.5","Dallas Hinton","48-113-0069","AQS","3","31","36","19"
"04/12/2016","33","Ozone","Dallas Hinton","48-113-0069","AQS","2","33","24","18"
"04/13/2016","30","Ozone","Dallas Hinton","48-113-0069","AQS","2","30","27","25"
"04/14/2016","43","Ozone","Dallas Hinton","48-113-0069","AQS","1","43","28","20"
"04/15/2016","40","PM2.5","Convention Center","48-113-0050","AQS","3","39","40","21"
"04/16/2016","40","PM2.5","Dallas Hinton","48-113-0069","AQS","1","31","40","7"
"04/17/2016","39","Ozone","Dallas Hinton","48-113-0069","AQS","2","39","25","11"
"04/18/2016","43","Ozone","Dallas Hinton","48-113-0069","AQS","3","43","14","30"
"04/19/2016","44","Ozone","Dallas Hinton","48-113-0069","AQS","3","44","26","32"
"04/20/2016","39","Ozone","Dallas North #2","48-113-0075","AQS","3","39","17","34"
"04/21/2016","44","Ozone","Dallas Hinton","48-113-0069","AQS","6","44","23","32"
"04/22/2016","50","Ozone","Dallas Hinton","48-113-0069","AQS","6","50","30","38"
"04/23/2016","61","Ozone","Dallas North #2","48-113-0075","AQS","6","61","37","36"
"04/24/2016","50","Ozone","Dallas Hinton","48-113-0069","AQS","2","50","33","8"
"04/25/2016","36","Ozone","Dallas North #2","48-113-0075","AQS","2","36","32","8"
"04/26/2016","44","PM2.5","Dallas Hinton","48-113-0069","AQS","2","36","44","7"
"04/27/2016","48","Ozone","Dallas North #2","48-113-0075","AQS","3","48","29","36"
"04/28/2016","64","Ozone","Dallas North #2","48-113-0075","AQS","3","64","26","27"
"04/29/2016","62","PM2.5","Dallas Hinton","48-113-0069","AQS","3","24","62","18"
"04/30/2016","41","Ozone","Dallas Hinton","48-113-0069","AQS","3","41","31","23"
"05/01/2016","38","Ozone","Dallas Hinton","48-113-0069","AQS","5","38","14","21"
"05/02/2016","32","Ozone","Dallas Hinton","48-113-0069","AQS","2","32","14","25"
"05/03/2016","46","Ozone","Dallas Hinton","48-113-0069","AQS","6","46","25","28"
"05/04/2016","50","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","5","50","24","36"
"05/05/2016","61","Ozone","Dallas North #2","48-113-0075","AQS","5","61","36","42"
"05/06/2016","67","Ozone","Dallas Hinton","48-113-0069","AQS","10","67","46","42"
"05/07/2016","64","Ozone","Dallas Hinton","48-113-0069","AQS","3","64","42","21"
"05/08/2016","42","Ozone","Dallas Hinton","48-113-0069","AQS","2","42","37","5"
"05/09/2016","41","Ozone","Dallas North #2","48-113-0075","AQS","2","41","34","11"
"05/10/2016","64","PM2.5","Dallas Hinton","48-113-0069","AQS","3","64","64","7"
"05/11/2016","51","Ozone","Dallas North #2","48-113-0075","AQS","2","51","46","23"
"05/12/2016","48","Ozone","Dallas Hinton","48-113-0069","AQS","3","48","23","32"
"05/13/2016","58","Ozone","Dallas North #2","48-113-0075","AQS","3","58","22","26"
"05/14/2016","42","Ozone","Dallas Hinton","48-113-0069","AQS","3","42","31","15"
"05/15/2016","41","Ozone","Dallas Hinton","48-113-0069","AQS","2","41","29","9"
"05/16/2016","45","Ozone","Dallas Hinton","48-113-0069","AQS","2","45","41","16"
"05/17/2016","54","Ozone","Dallas Hinton","48-113-0069","AQS","2","54","18","20"
"05/18/2016","24","Ozone","Dallas Hinton","48-113-0069","AQS","2","24","14","15"
"05/19/2016","31","Ozone","Dallas Hinton","48-113-0069","AQS","2","31","28","18"
"05/20/2016","93","Ozone","Dallas Hinton","48-113-0069","AQS","3","93","34","27"
"05/21/2016","44","Ozone","Dallas Hinton","48-113-0069","AQS","3","44","43","18"
"05/22/2016","50","PM2.5","Dallas Hinton","48-113-0069","AQS","2","37","50","8"
"05/23/2016","41","Ozone","Dallas North #2","48-113-0075","AQS","2","41","38","23"
"05/24/2016","45","PM2.5","Convention Center","48-113-0050","AQS","2","28","45","12"
"05/25/2016","60","PM2.5","Dallas Hinton","48-113-0069","AQS","2","25","60","5"
"05/26/2016","30","PM2.5","Dallas Hinton","48-113-0069","AQS","2","30","30","8"
"05/27/2016","40","Ozone","Dallas Hinton","48-113-0069","AQS","2","40","15","14"
"05/28/2016","35","PM2.5","Dallas Hinton","48-113-0069","AQS","2","32","35","6"
"05/29/2016","39","Ozone","Dallas Hinton","48-113-0069","AQS","2","39","38","11"
"05/30/2016","77","Ozone","Dallas North #2","48-113-0075","AQS","2","77","35","15"
"05/31/2016","31","Ozone","Dallas Hinton","48-113-0069","AQS","3","31","29","19"
"06/01/2016","39","Ozone","Dallas Hinton","48-113-0069","AQS","2","39","25","19"
"06/02/2016","22","PM2.5","Convention Center","48-113-0050","AQS","2","22","22","14"
"06/03/2016","40","Ozone","Dallas Hinton","48-113-0069","AQS","2","40","15","16"
"06/04/2016","38","Ozone","Dallas Hinton","48-113-0069","AQS","2","38","18","20"
"06/05/2016","51","Ozone","Dallas Hinton","48-113-0069","AQS","2","51","21","12"
"06/06/2016","77","Ozone","Dallas Hinton","48-113-0069","AQS","3","77","28","32"
"06/07/2016","140","Ozone","Dallas Hinton","48-113-0069","AQS","7","140","42","36"
"06/08/2016","77","Ozone","Dallas Hinton","48-113-0069","AQS","6","77","58","37"
"06/09/2016","74","Ozone","Dallas North #2","48-113-0075","AQS","3","74","60","25"
"06/10/2016","74","Ozone","Dallas Hinton","48-113-0069","AQS","3","74","53","21"
"06/11/2016","40","PM2.5","Convention Center","48-113-0050","AQS","2","34","40","13"
"06/12/2016","31","PM2.5","Dallas Hinton","48-113-0069","AQS","2","27","31","16"
"06/13/2016","29","Ozone","Dallas North #2","48-113-0075","AQS","3","29","21","18"
"06/14/2016","45","PM2.5","Convention Center","48-113-0050","AQS","2","27","45","14"
"06/15/2016","66","PM2.5","Dallas Hinton","48-113-0069","AQS","2","38","66","7"
"06/16/2016","60","PM2.5","Dallas Hinton","48-113-0069","AQS","1","39","60","9"
"06/17/2016","52","PM2.5","Convention Center","48-113-0050","AQS",".","40","52","12"
"06/18/2016","49","PM2.5","Dallas Hinton","48-113-0069","AQS","2","48","49","11"
"06/19/2016","45","Ozone","Dallas North #2","48-113-0075","AQS","2","45","40","10"
"06/20/2016","101","Ozone","Dallas Hinton","48-113-0069","AQS","2","101","50","14"
"06/21/2016","55","PM2.5","Dallas Hinton","48-113-0069","AQS","2","54","55","14"
"06/22/2016","42","PM2.5","Dallas Hinton","48-113-0069","AQS","1","37","42","10"
"06/23/2016","44","Ozone","Dallas North #2","48-113-0075","AQS","2","44","29","8"
"06/24/2016","39","Ozone","Dallas North #2","48-113-0075","AQS","2","39","22","11"
"06/25/2016","30","PM2.5","Dallas Hinton","48-113-0069","AQS","1","23","30","4"
"06/26/2016","44","PM2.5","Dallas Hinton","48-113-0069","AQS","1","24","44","10"
"06/27/2016","74","Ozone","Dallas Hinton","48-113-0069","AQS","3","74","41","26"
"06/28/2016","47","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","5","47","38","25"
"06/29/2016","58","Ozone","Dallas Hinton","48-113-0069","AQS","3","58","45","26"
"06/30/2016","100","Ozone","Dallas North #2","48-113-0075","AQS","5","100","60","27"
"07/01/2016","84","Ozone","Dallas North #2","48-113-0075","AQS","3","84","62","28"
"07/02/2016","59","PM2.5","Convention Center","48-113-0050","AQS","2","32","59","7"
"07/03/2016","56","PM2.5","Dallas Hinton","48-113-0069","AQS","1","30","56","2"
"07/04/2016","40","PM2.5","Dallas Hinton","48-113-0069","AQS","1","36","40","6"
"07/05/2016","49","PM2.5","Convention Center","48-113-0050","AQS","1","35","49","7"
"07/06/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","1","32","43","3"
"07/07/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","1","31","43","4"
"07/08/2016","53","PM2.5","Convention Center","48-113-0050","AQS","1","32","53","8"
"07/09/2016","44","PM2.5","Dallas Hinton","48-113-0069","AQS","1","31","44","16"
"07/10/2016","60","PM2.5","Dallas Hinton","48-113-0069","AQS","2","31","60","8"
"07/11/2016","84","PM2.5","Dallas Hinton","48-113-0069","AQS","1","28","84","3"
"07/12/2016","58","PM2.5","Dallas Hinton","48-113-0069","AQS","1","29","58","4"
"07/13/2016","42","PM2.5","Dallas Hinton","48-113-0069","AQS","1","33","42","7"
"07/14/2016","35","PM2.5","Convention Center","48-113-0050","AQS","1","35","35","8"
"07/15/2016","59","PM2.5","Dallas Hinton","48-113-0069","AQS","1","36","59","22"
"07/16/2016","71","PM2.5","Dallas Hinton","48-113-0069","AQS","2","39","71","25"
"07/17/2016","47","PM2.5","Dallas Hinton","48-113-0069","AQS","1","37","47","7"
"07/18/2016","37","Ozone","Dallas North #2","48-113-0075","AQS","2","37","29","13"
"07/19/2016","45","PM2.5","Dallas Hinton","48-113-0069","AQS","2","40","45","17"
"07/20/2016","42","Ozone","Dallas North #2","48-113-0075","AQS","1","42","33","16"
"07/21/2016","44","Ozone","Dallas North #2","48-113-0075","AQS","2","44","37","14"
"07/22/2016","67","Ozone","Dallas North #2","48-113-0075","AQS","2","67","43","16"
"07/23/2016","51","Ozone","Dallas Hinton","48-113-0069","AQS","2","51","44","10"
"07/24/2016","44","Ozone","Dallas Hinton","48-113-0069","AQS","2","44","36","7"
"07/25/2016","48","Ozone","Dallas Hinton","48-113-0069","AQS","2","48","35","19"
"07/26/2016","74","Ozone","Dallas Hinton","48-113-0069","AQS","2","74","40","19"
"07/27/2016","71","Ozone","Dallas Hinton","48-113-0069","AQS","2","71","42","34"
"07/28/2016","50","Ozone","Dallas North #2","48-113-0075","AQS","2","50","45","11"
"07/29/2016","54","Ozone","Dallas North #2","48-113-0075","AQS","1","54","43","11"
"07/30/2016","39","Ozone","Dallas North #2","48-113-0075","AQS","1","39","31","9"
"07/31/2016","33","PM2.5","Dallas Hinton","48-113-0069","AQS","1","32","33","5"
"08/01/2016","63","PM2.5","Convention Center","48-113-0050","AQS","1","38","63","7"
"08/02/2016","60","PM2.5","Dallas Hinton","48-113-0069","AQS","2","39","60","12"
"08/03/2016","48","Ozone","Dallas North #2","48-113-0075","AQS","2","48","42","11"
"08/04/2016","49","Ozone","Dallas North #2","48-113-0075","AQS","1","49","36","12"
"08/05/2016","84","Ozone","Dallas North #2","48-113-0075","AQS","1","84","37","12"
"08/06/2016","51","Ozone","Dallas North #2","48-113-0075","AQS","1","51","33","9"
"08/07/2016","55","PM2.5","Dallas Hinton","48-113-0069","AQS","1","38","55","5"
"08/08/2016","46","PM2.5","Dallas Hinton","48-113-0069","AQS","1","44","46","14"
"08/09/2016","61","Ozone","Dallas North #2","48-113-0075","AQS","1","61","45","16"
"08/10/2016","47","Ozone","Dallas North #2","48-113-0075","AQS","1","47","43","13"
"08/11/2016","44","Ozone","Dallas North #2","48-113-0075","AQS","1","44","37","16"
"08/12/2016","61","Ozone","Dallas North #2","48-113-0075","AQS","2","61","53","15"
"08/13/2016","45","Ozone","Dallas Hinton","48-113-0069","AQS","1","45","25","15"
"08/14/2016","34","Ozone","Dallas Hinton","48-113-0069","AQS","1","34","20","9"
"08/15/2016","28","Ozone","Dallas Hinton","48-113-0069","AQS","2","28","17","18"
"08/16/2016","33","PM2.5","Dallas Hinton","48-113-0069","AQS","2","29","33","18"
"08/17/2016","18","PM2.5","Dallas Hinton","48-113-0069","AQS","2","16","18","8"
"08/18/2016","23","Ozone","Dallas North #2","48-113-0075","AQS","1","23","18","17"
"08/19/2016","23","PM2.5","Convention Center","48-113-0050","AQS","2","19","23","18"
"08/20/2016","34","Ozone","Dallas Hinton","48-113-0069","AQS","3","34","23","18"
"08/21/2016","40","Ozone","Dallas Hinton","48-113-0069","AQS","6","40","24","14"
"08/22/2016","33","PM2.5","Dallas Hinton","48-113-0069","AQS","2","20","33","15"
"08/23/2016","49","PM2.5","Dallas Hinton","48-113-0069","AQS","2","26","49","5"
"08/24/2016","49","PM2.5","Dallas Hinton","48-113-0069","AQS","1","29","49","9"
"08/25/2016","38","PM2.5","Convention Center","48-113-0050","AQS","1","33","38","10"
"08/26/2016","41","Ozone","Dallas North #2","48-113-0075","AQS","2","41","30","15"
"08/27/2016","49","Ozone","Dallas Hinton","48-113-0069","AQS","2","49","40","16"
"08/28/2016","41","Ozone","Dallas Hinton","48-113-0069","AQS","2","41","34","6"
"08/29/2016","40","PM2.5","Dallas Hinton","48-113-0069","AQS","5","29","40","29"
"08/30/2016","47","Ozone","Dallas Hinton","48-113-0069","AQS","3","47","38","17"
"08/31/2016","67","Ozone","Dallas Hinton","48-113-0069","AQS","3","67","60","19"
"09/01/2016","50","Ozone","Dallas Hinton","48-113-0069","AQS","3","50","41","20"
"09/02/2016","48","Ozone","Dallas Hinton","48-113-0069","AQS","2","48","34","13"
"09/03/2016","54","Ozone","Dallas Hinton","48-113-0069","AQS","2","54","41","11"
"09/04/2016","57","PM2.5","Dallas Hinton","48-113-0069","AQS","2","51","57","8"
"09/05/2016","35","PM2.5","Dallas Hinton","48-113-0069","AQS","2","31","35","6"
"09/06/2016","45","PM2.5","Dallas Hinton","48-113-0069","AQS","1","30","45","9"
"09/07/2016","57","PM2.5","Dallas Hinton","48-113-0069","AQS","1","27","57","9"
"09/08/2016","72","PM2.5","Dallas Hinton","48-113-0069","AQS","1","33","72","9"
"09/09/2016","59","PM2.5","Dallas Hinton","48-113-0069","AQS","1","29","59","9"
"09/10/2016","39","Ozone","Dallas Hinton","48-113-0069","AQS","1","39","15","23"
"09/11/2016","108","Ozone","Dallas Hinton","48-113-0069","AQS","2","108","22","21"
"09/12/2016","50","PM2.5","Convention Center","48-113-0050","AQS","2","50","50","22"
"09/13/2016","44","PM2.5","Dallas Hinton","48-113-0069","AQS","2","41","44","16"
"09/14/2016","45","PM2.5","Dallas Hinton","48-113-0069","AQS","2","41","45","22"
"09/15/2016","52","PM2.5","Dallas Hinton","48-113-0069","AQS","3","49","52","22"
"09/16/2016","71","Ozone","Dallas North #2","48-113-0075","AQS","3","71","42","37"
"09/17/2016","93","Ozone","Dallas Hinton","48-113-0069","AQS","5","93","45","33"
"09/18/2016","58","Ozone","Dallas Hinton","48-113-0069","AQS","2","58","36","30"
"09/19/2016","51","Ozone","Dallas North #2","48-113-0075","AQS","3","51","39","18"
"09/20/2016","97","Ozone","Dallas Hinton","48-113-0069","AQS","3","97","55","20"
"09/21/2016","84","Ozone","Dallas Hinton","48-113-0069","AQS","2","84","54","25"
"09/22/2016","80","Ozone","Dallas North #2","48-113-0075","AQS","3","80","57","31"
"09/23/2016","49","PM2.5","Dallas Hinton","48-113-0069","AQS","2","35","49","21"
"09/24/2016","27","PM2.5","Convention Center","48-113-0050","AQS","1","23","27","7"
"09/25/2016","22","Ozone","Dallas Hinton","48-113-0069","AQS","2","22","18","14"
"09/26/2016","24","Ozone","Dallas Hinton","48-113-0069","AQS","2","24","13","22"
"09/27/2016","39","Ozone","Dallas North #2","48-113-0075","AQS","6","39","25","35"
"09/28/2016","71","Ozone","Dallas Hinton","48-113-0069","AQS","8","71","38","47"
"09/29/2016","33","Ozone","Dallas Hinton","48-113-0069","AQS","5","33","17","26"
"09/30/2016","71","Ozone","Dallas Hinton","48-113-0069","AQS","3","71","29","35"
"10/01/2016","90","Ozone","Dallas North #2","48-113-0075","AQS","8","90","48","31"
"10/02/2016","71","Ozone","Dallas North #2","48-113-0075","AQS","3","71","50","29"
"10/03/2016","67","Ozone","Dallas North #2","48-113-0075","AQS","3","67","60","28"
"10/04/2016","48","PM2.5","Dallas Hinton","48-113-0069","AQS","2","44","48","19"
"10/05/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","2","36","43","10"
"10/06/2016","36","PM2.5","Convention Center","48-113-0050","AQS","2","32","36","11"
"10/07/2016","26","Ozone","Dallas Hinton","48-113-0069","AQS","2","26","19","13"
"10/08/2016","40","Ozone","Dallas Hinton","48-113-0069","AQS","3","40","31","28"
"10/09/2016","55","PM2.5","Convention Center","48-113-0050","AQS","5","47","55","27"
"10/10/2016","48","PM2.5","Dallas Hinton","48-113-0069","AQS","7","45","48","39"
"10/11/2016","67","Ozone","Dallas North #2","48-113-0075","AQS","5","67","49","32"
"10/12/2016","46","Ozone","Dallas North #2","48-113-0075","AQS","3","46","30","32"
"10/13/2016","34","PM2.5","Dallas Hinton","48-113-0069","AQS","2","22","34","8"
"10/14/2016","38","PM2.5","Dallas Hinton","48-113-0069","AQS","5","23","38","32"
"10/15/2016","36","PM2.5","Convention Center","48-113-0050","AQS","5","33","36","8"
"10/16/2016","31","Ozone","Dallas North #2","48-113-0075","AQS","2","31","20","6"
"10/17/2016","33","Ozone","Dallas North #2","48-113-0075","AQS","1","33","24","6"
"10/18/2016","27","Ozone","Dallas North #2","48-113-0075","AQS","2","27","24","12"
"10/19/2016","29","Ozone","Dallas North #2","48-113-0075","AQS","2","29","26","21"
"10/20/2016","37","Ozone","Dallas Hinton","48-113-0069","AQS","2","37","20","22"
"10/21/2016","39","NO2","Dallas Hinton","48-113-0069","AQS","7","38","32","39"
"10/22/2016","44","Ozone","Dallas Hinton","48-113-0069","AQS","10","44","35","30"
"10/23/2016","44","Ozone","Dallas North #2","48-113-0075","AQS","3","44","31","10"
"10/24/2016","38","Ozone","Dallas North #2","48-113-0075","AQS","2","38","35","21"
"10/25/2016","44","Ozone","Dallas Hinton","48-113-0069","AQS","3","44","42","21"
"10/26/2016","39","Ozone","Dallas North #2","48-113-0075","AQS","3","39","37","24"
"10/27/2016","42","Ozone","Dallas North #2","48-113-0075","AQS","3","42","39","29"
"10/28/2016","50","Ozone","Dallas North #2","48-113-0075","AQS","5","50","43","33"
"10/29/2016","46","Ozone","Dallas Hinton","48-113-0069","AQS","3","46","35","21"
"10/30/2016","39","Ozone","Dallas North #2","48-113-0075","AQS","2","39","33","11"
"10/31/2016","45","Ozone","Dallas Hinton","48-113-0069","AQS","5","45","33","25"
"11/01/2016","31","Ozone","Dallas North #2","48-113-0075","AQS","2","31","28","8"
"11/02/2016","37","PM2.5","Convention Center","48-113-0050","AQS",".","28","37","18"
"11/03/2016","25","PM2.5","Dallas Hinton","48-113-0069","AQS","2","20","25","22"
"11/04/2016","55","PM2.5","Dallas Hinton","48-113-0069","AQS","2","27","55","22"
"11/05/2016","52","PM2.5","Convention Center","48-113-0050","AQS","2","34","52","28"
"11/06/2016","48","PM2.5","Dallas Hinton","48-113-0069","AQS","2","28","48","22"
"11/07/2016","50","PM2.5","Dallas Hinton","48-113-0069","AQS","3","20","50","20"
"11/08/2016","55","PM2.5","Convention Center","48-113-0050","AQS","3","16","55","20"
"11/09/2016","42","PM2.5","Dallas Hinton","48-113-0069","AQS","5","20","42","20"
"11/10/2016","51","PM2.5","Dallas Hinton","48-113-0069","AQS","8","31","51","39"
