"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"08/09/2001","42","Ozone","Dallas North #2","48-113-0075","AQS","2","42",".","40","19"
"08/10/2001","49","Ozone","Dallas North #2","48-113-0075","AQS","3","49",".","34","34"
"08/11/2001","50","Ozone","Dallas North #2","48-113-0075","AQS","5","50","38","40","33"
"08/12/2001","112","Ozone","Dallas North #2","48-113-0075","AQS","5","112",".","54","23"
"08/13/2001","90","Ozone","Dallas North #2","48-113-0075","AQS","5","90",".","55","31"
"08/14/2001","122","Ozone","Dallas Hinton","48-113-0069","AQS","6","122",".","66","38"
"08/15/2001","147","Ozone","Dallas North #2","48-113-0075","AQS","6","147",".","66","42"
"08/16/2001","48","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","6","48",".","40","37"
"08/17/2001","46","PM2.5","SOUTH OF COIT RD. & CHURCHILL WAY INTERSECTION","48-113-0035","AQS","7","38","24","46","38"
"08/18/2001","84","Ozone","Dallas Hinton","48-113-0069","AQS","7","84",".","51","30"
"08/19/2001","187","Ozone","Dallas North #2","48-113-0075","AQS","7","187",".","54","32"
"08/20/2001","54","Ozone","Dallas North #2","48-113-0075","AQS","5","54",".","42","26"
"08/21/2001","41","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","41",".","31","26"
"08/22/2001","49","Ozone","Dallas North #2","48-113-0075","AQS","3","49",".","38","26"
"08/23/2001","46","Ozone","Dallas North #2","48-113-0075","AQS",".","46","26","44","42"
"08/24/2001","93","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS",".","93",".","59","35"
"08/25/2001","59","PM2.5","Convention Center","48-113-0050","AQS",".","58",".","59","27"
"08/26/2001","40","PM2.5","Dallas Hinton","48-113-0069","AQS","3","33",".","40","20"
"08/27/2001","35","NO2","Dallas Hinton","48-113-0069","AQS","5","28",".","33","35"
"08/28/2001","29","PM2.5","Convention Center","48-113-0050","AQS",".","24",".","29","25"
"08/29/2001","34","PM2.5","Convention Center","48-113-0050","AQS",".","29","19","34","16"
"08/30/2001","32","PM2.5","Dallas Hinton","48-113-0069","AQS",".","20",".","32","15"
"08/31/2001","29","PM2.5","Convention Center","48-113-0050","AQS","5","21",".","29","25"
"09/01/2001","47","PM2.5","Dallas Hinton","48-113-0069","AQS","5","27",".","47","27"
"09/02/2001","54","PM2.5","Convention Center","48-113-0050","AQS","8","44",".","54","38"
"09/03/2001","105","Ozone","Dallas Hinton","48-113-0069","AQS","14","105",".","54","33"
"09/04/2001","38","PM2.5","Convention Center","48-113-0050","AQS","6","26","16","38","25"
"09/05/2001","35","PM2.5","Convention Center","48-113-0050","AQS","5","33",".","35","18"
"09/06/2001","32","PM2.5","Convention Center","48-113-0050","AQS","3","31",".","32","18"
"09/07/2001","36","PM2.5","Convention Center","48-113-0050","AQS","2","30",".","36","14"
"09/08/2001","40","PM2.5","Dallas Hinton","48-113-0069","AQS","3","31",".","40","15"
"09/09/2001","36","PM2.5","Dallas Hinton","48-113-0069","AQS","5","35",".","36","32"
"09/10/2001","61","Ozone","Dallas Hinton","48-113-0069","AQS","7","61","27","50","44"
"09/11/2001","97","Ozone","Dallas North #2","48-113-0075","AQS","5","97",".","57","57"
"09/12/2001","161","Ozone","Dallas Hinton","48-113-0069","AQS","11","161",".","69","87"
"09/13/2001","147","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","10","147",".","82","68"
"09/14/2001","119","Ozone","Dallas North #2","48-113-0075","AQS","11","119",".","72","64"
"09/15/2001","67","PM2.5","Convention Center","48-113-0050","AQS","5","50",".","67","16"
"09/16/2001","84","Ozone","Dallas North #2","48-113-0075","AQS","5","84","33","83","19"
"09/17/2001","89","PM2.5","Convention Center","48-113-0050","AQS","5","64",".","89","21"
"09/18/2001","44","PM2.5","Convention Center","48-113-0050","AQS","3","41",".","44","29"
"09/19/2001","45","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","6","38",".","45","36"
"09/20/2001","42","PM2.5","Convention Center","48-113-0050","AQS","5","41",".","42","31"
"09/21/2001","42","NO2","Dallas Hinton","48-113-0069","AQS","7","27",".","39","42"
"09/22/2001","64","Ozone","Dallas Hinton","48-113-0069","AQS","7","64","31","60","34"
"09/23/2001","74","Ozone","Dallas Hinton","48-113-0069","AQS","7","74",".","60","34"
"09/24/2001","33","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","33",".","24","27"
"09/25/2001","45","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","5","40",".","43","45"
"09/26/2001","58","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","8","58",".","52","55"
"09/27/2001","90","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","10","90",".","65","63"
"09/28/2001","101","Ozone","Dallas North #2","48-113-0075","AQS","11","101","58","76","63"
"09/29/2001","77","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","13","77",".","67","56"
"09/30/2001","71","Ozone","Dallas Hinton","48-113-0069","AQS","6","71",".","59","50"
"10/01/2001","72","PM2.5","BOY'S  CLUB","48-113-0057","AQS","10","58",".","72","71"
"10/02/2001","90","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","13","90",".","71","62"
"10/03/2001","74","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","6","74",".","69","44"
"10/04/2001","61","PM2.5","Convention Center","48-113-0050","AQS","5","41","36","61","32"
"10/05/2001","34","PM2.5","Convention Center","48-113-0050","AQS","5","25",".","34","20"
"10/06/2001","37","NO2","Dallas Hinton","48-113-0069","AQS","5","33",".","21","37"
"10/07/2001","44","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","8","44",".","34","32"
"10/08/2001","80","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","80",".","54","30"
"10/09/2001","55","PM2.5","Convention Center","48-113-0050","AQS","3","41",".","55","34"
"10/10/2001","43","PM2.5","Convention Center","48-113-0050","AQS","3","31","26","43","18"
"10/11/2001","40","NO2","Dallas Hinton","48-113-0069","AQS","8","24",".","32","40"
"10/12/2001","48","PM2.5","Convention Center","48-113-0050","AQS","9","35",".","48","32"
"10/13/2001","38","NO2","Dallas Hinton","48-113-0069","AQS","7","24",".","31","38"
"10/14/2001","44","NO2","Dallas Hinton","48-113-0069","AQS","10","42",".","35","44"
"10/15/2001","48","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","6","48",".","36","32"
"10/16/2001","42","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","8","35","23","29","42"
"10/17/2001","53","PM2.5","Convention Center","48-113-0050","AQS","17","41",".","53","48"
"10/18/2001","50","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","50",".","43","36"
"10/19/2001","55","PM2.5","Dallas Hinton","48-113-0069","AQS","6","43",".","55","42"
"10/20/2001","47","PM2.5","Convention Center","48-113-0050","AQS","6","43",".","47","36"
"10/21/2001","51","PM2.5","Convention Center","48-113-0050","AQS","6","40","39","51","38"
"10/22/2001","46","PM2.5","Convention Center","48-113-0050","AQS","5","31","26","46","25"
"10/23/2001","43","PM2.5","Convention Center","48-113-0050","AQS","3","33",".","43","22"
"10/24/2001","41","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","41",".","28","39"
"10/25/2001","45","NO2","Dallas Hinton","48-113-0069","AQS","10","37",".","44","45"
"10/26/2001","54","NO2","Dallas Hinton","48-113-0069","AQS","15","39",".","42","54"
"10/27/2001","59","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","25","39",".","59","46"
"10/28/2001","44","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","44","20","43","30"
"10/29/2001","57","PM2.5","Convention Center","48-113-0050","AQS","7","45",".","57","53"
"10/30/2001","77","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","9","77",".","68","49"
"10/31/2001","65","PM2.5","Dallas Hinton","48-113-0069","AQS","7","46",".","65","41"
"11/01/2001","32","PM2.5","Convention Center","48-113-0050","AQS","2","32",".","32","24"
"11/02/2001","43","PM2.5","Convention Center","48-113-0050","AQS","3","31",".","43","33"
"11/03/2001","53","PM2.5","BOY'S  CLUB","48-113-0057","AQS","6","39","32","53","41"
"11/04/2001","58","PM2.5","Dallas Hinton","48-113-0069","AQS","9","33",".","58","37"
"11/05/2001","59","PM2.5","Convention Center","48-113-0050","AQS","10","41",".","59","54"
"11/06/2001","64","PM2.5","Convention Center","48-113-0050","AQS","14","54",".","64","63"
