"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"11/20/2017","38","PM2.5","Dallas Hinton","48-113-0069","AQS","7","37","38","33"
"11/21/2017","32","NO2","Dallas LBJ Freeway","48-113-1067","AQS","2","29","30","32"
"11/22/2017","33","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","7","27","26","33"
"11/23/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","9","33","52","32"
"11/24/2017","42","Ozone","Dallas North #2","48-113-0075","AQS","3","42","29","21"
"11/25/2017","43","Ozone","Dallas Hinton","48-113-0069","AQS","3","43","30","41"
"11/26/2017","43","Ozone","Dallas Hinton","48-113-0069","AQS","3","43","33","41"
"11/27/2017","49","Ozone","Dallas Hinton","48-113-0069","AQS","3","49","45","25"
"11/28/2017","40","Ozone","Dallas North #2","48-113-0075","AQS","2","40","33","19"
"11/29/2017","40","PM2.5","Dallas Hinton","48-113-0069","AQS","7","30","40","34"
"11/30/2017","42","PM2.5","Dallas Hinton","48-113-0069","AQS","8","32","42","38"
"12/01/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","9","37","52","34"
"12/02/2017","56","PM2.5","Dallas Hinton","48-113-0069","AQS","3","44","56","21"
"12/03/2017","49","PM2.5","Convention Center","48-113-0050","AQS","3","34","49","12"
"12/04/2017","27","Ozone","Dallas Hinton","48-113-0069","AQS","2","27","23","26"
"12/05/2017","29","Ozone","Dallas Hinton","48-113-0069","AQS","2","29","21","19"
"12/06/2017","32","NO2","Dallas Hinton","48-113-0069","AQS","3","24","23","32"
"12/07/2017","30","Ozone","Dallas Hinton","48-113-0069","AQS","3","30","13","20"
"12/08/2017","38","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","27","32","38"
"12/09/2017","36","PM2.5","Dallas Hinton","48-113-0069","AQS","6","31","36","33"
"12/10/2017","46","PM2.5","Dallas Hinton","48-113-0069","AQS","9","32","46","39"
"12/11/2017","44","NO2","Dallas Hinton","48-113-0069","AQS","6","31","33","44"
"12/12/2017","36","NO2","Dallas Hinton","48-113-0069","AQS","5","30","23","36"
"12/13/2017","43","PM2.5","Dallas Hinton","48-113-0069","AQS","7","34","43","39"
"12/14/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","5","31","35","31"
"12/15/2017","39","PM2.5","Dallas Hinton","48-113-0069","AQS","7","28","39","37"
"12/16/2017","34","PM2.5","Dallas Hinton","48-113-0069","AQS","8","28","34","34"
"12/17/2017","38","PM2.5","Dallas Hinton","48-113-0069","AQS","2","20","38","16"
"12/18/2017","57","PM2.5","Convention Center","48-113-0050","AQS","3","15","57","21"
"12/19/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","7","7","35","25"
"12/20/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","5","11","35","24"
"12/21/2017","40","PM2.5","Convention Center","48-113-0050","AQS","5","30","40","31"
"12/22/2017","38","PM2.5","Dallas Hinton","48-113-0069","AQS","3","15","38","21"
"12/23/2017","32","PM2.5","Dallas Hinton","48-113-0069","AQS","3","23","32","25"
"12/24/2017","48","PM2.5","Dallas Hinton","48-113-0069","AQS","3","21","48","20"
"12/25/2017","29","Ozone","Dallas Hinton","48-113-0069","AQS","3","29","28","16"
"12/26/2017","37","PM2.5","Dallas Hinton","48-113-0069","AQS","2","21","37","16"
"12/27/2017","42","PM2.5","Dallas Hinton","48-113-0069","AQS","2","19","42","17"
"12/28/2017","49","PM2.5","Dallas Hinton","48-113-0069","AQS","3","18","49","20"
"12/29/2017","50","PM2.5","Dallas Hinton","48-113-0069","AQS","2","16","50","15"
"12/30/2017","64","PM2.5","Convention Center","48-113-0050","AQS","2","11","64","12"
"12/31/2017","51","PM2.5","Dallas Hinton","48-113-0069","AQS","2","25","51","11"
