"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"04/03/2004","54","Ozone","Niland-English Road","06-025-4004","AQS","7","54","13","42","25"
"04/04/2004","64","Ozone","El Centro-9th Street","06-025-1003","AQS","13","64",".",".","46"
"04/05/2004","101","Ozone","Niland-English Road","06-025-4004","AQS","18","101",".",".","36"
"04/06/2004","80","Ozone","Niland-English Road","06-025-4004","AQS","8","80",".","42","29"
"04/07/2004","105","Ozone","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","16","105",".",".","57"
"04/08/2004","100","Ozone","Niland-English Road","06-025-4004","AQS","20","100",".",".","33"
"04/09/2004","77","Ozone","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","8","77","47","52","61"
"04/10/2004","100","Ozone","El Centro-9th Street","06-025-1003","AQS","13","100",".",".","35"
"04/11/2004","71","Ozone","Niland-English Road","06-025-4004","AQS","23","71",".",".","44"
"04/12/2004","80","Ozone","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","28","80",".","38","54"
"04/13/2004","133","Ozone","El Centro-9th Street","06-025-1003","AQS","11","133",".",".","46"
"04/14/2004","100","Ozone","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","3","100",".",".","29"
"04/15/2004","71","Ozone","El Centro-9th Street","06-025-1003","AQS","8","71","51","50","35"
"04/16/2004","61","Ozone","El Centro-9th Street","06-025-1003","AQS","8","61",".",".","34"
"04/17/2004","51","Ozone","Niland-English Road","06-025-4004","AQS","3","51",".",".","8"
"04/18/2004","61","Ozone","Niland-English Road","06-025-4004","AQS","8","61",".","23","43"
"04/19/2004","84","Ozone","Niland-English Road","06-025-4004","AQS","8","84",".",".","11"
"04/20/2004","112","Ozone","Niland-English Road","06-025-4004","AQS","3","112",".","29","24"
"04/21/2004","93","Ozone","Niland-English Road","06-025-4004","AQS","8","93","54","36","28"
"04/22/2004","87","Ozone","Niland-English Road","06-025-4004","AQS","3","87",".",".","28"
"04/23/2004","54","Ozone","Niland-English Road","06-025-4004","AQS","15","54","38",".","48"
"04/24/2004","80","Ozone","El Centro-9th Street","06-025-1003","AQS","19","80",".","27","49"
"04/25/2004","93","Ozone","El Centro-9th Street","06-025-1003","AQS","23","93",".",".","40"
"04/26/2004","74","Ozone","El Centro-9th Street","06-025-1003","AQS","5","74",".",".","34"
"04/27/2004","90","Ozone","El Centro-9th Street","06-025-1003","AQS","9","90","54","57","47"
"04/28/2004","119","Ozone","Niland-English Road","06-025-4004","AQS","10","119",".",".","41"
"04/29/2004","87","Ozone","El Centro-9th Street","06-025-1003","AQS","5","87",".",".","9"
"04/30/2004","67","Ozone","Niland-English Road","06-025-4004","AQS","30","67",".","45","52"
"05/01/2004","77","Ozone","El Centro-9th Street","06-025-1003","AQS","31","77",".",".","51"
"05/02/2004","84","Ozone","El Centro-9th Street","06-025-1003","AQS","24","84",".",".","50"
"05/03/2004","105","Ozone","Calexico-Ethel Street","06-025-0005","AQS","28","105","76","82","58"
"05/04/2004","71","Ozone","Niland-English Road","06-025-4004","AQS","27","71",".",".","39"
"05/05/2004","64","Ozone","El Centro-9th Street","06-025-1003","AQS","13","64",".",".","31"
"05/06/2004","67","Ozone","El Centro-9th Street","06-025-1003","AQS","7","67",".","35","36"
"05/07/2004","97","Ozone","Niland-English Road","06-025-4004","AQS","11","97",".",".","45"
