"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"10/02/2002","42","Ozone","Centennial","56-001-9991","AQS","42",".","3"
"10/03/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"10/04/2002","41","Ozone","Centennial","56-001-9991","AQS","41",".","."
"10/05/2002","43","Ozone","Centennial","56-001-9991","AQS","43","37","7"
"10/06/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"10/07/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"10/08/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","5"
"10/09/2002","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"10/10/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"10/11/2002","76","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","51","76","10"
"10/12/2002","74","Ozone","Centennial","56-001-9991","AQS","74",".","."
"10/13/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"10/14/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","5"
"10/15/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"10/16/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"10/17/2002","45","Ozone","Centennial","56-001-9991","AQS","45","38","8"
"10/18/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"10/19/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"10/20/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","8"
"10/21/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"10/22/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"10/23/2002","51","Ozone","Centennial","56-001-9991","AQS","51","23","10"
"10/24/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"10/25/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"10/26/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","18"
"10/27/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"10/28/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
"10/29/2002","38","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","31","38","3"
"10/30/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"10/31/2002","50","Ozone","Centennial","56-001-9991","AQS","50",".","."
"11/01/2002","50","Ozone","Centennial","56-001-9991","AQS","50",".","12"
"11/02/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"11/03/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","."
"11/04/2002","74","Ozone","Centennial","56-001-9991","AQS","74","51","5"
"11/05/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"11/06/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
"11/07/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","5"
"11/08/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"11/09/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"11/10/2002","44","Ozone","Centennial","56-001-9991","AQS","44","23","3"
"11/11/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"11/12/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"11/13/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","2"
"11/14/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"11/15/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"11/16/2002","49","Ozone","Centennial","56-001-9991","AQS","49","42","4"
"11/17/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"11/18/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"11/19/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","4"
"11/20/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"11/22/2002","42","Ozone","Centennial","56-001-9991","AQS","42","38","1"
"11/23/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"11/24/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"11/25/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","3"
"11/26/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"11/27/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"11/28/2002","40","Ozone","Centennial","56-001-9991","AQS","40","19","0"
"11/29/2002","41","Ozone","Centennial","56-001-9991","AQS","41",".","."
"11/30/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"12/01/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","4"
"12/02/2002","42","Ozone","Centennial","56-001-9991","AQS","42",".","."
"12/03/2002","41","Ozone","Centennial","56-001-9991","AQS","41",".","."
"12/04/2002","41","Ozone","Centennial","56-001-9991","AQS","41","27","8"
"12/05/2002","42","Ozone","Centennial","56-001-9991","AQS","42",".","."
"12/06/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"12/07/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","2"
"12/08/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"12/09/2002","50","Ozone","Centennial","56-001-9991","AQS","50",".","."
"12/10/2002","48","Ozone","Centennial","56-001-9991","AQS","48","29","2"
"12/11/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"12/12/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"12/13/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","11"
"12/14/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"12/15/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"12/16/2002","140","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","47","140","7"
