"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"11/11/2020","25","Ozone","PAINTED CANYON","38-007-0002","AQS","25","7"
"11/12/2020","25","Ozone","PAINTED CANYON","38-007-0002","AQS","25","20"
"11/13/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","12"
"11/14/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","12"
"11/15/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","4"
"11/16/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","6"
"11/17/2020","25","Ozone","PAINTED CANYON","38-007-0002","AQS","25","17"
"11/18/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","9"
"11/19/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","0"
"11/20/2020","27","PM2.5","PAINTED CANYON","38-007-0002","AQS","22","27"
"11/21/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","7"
"11/22/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","11"
"11/23/2020","22","Ozone","PAINTED CANYON","38-007-0002","AQS","22","8"
"11/24/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","13"
"11/25/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","10"
"11/26/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","6"
"11/27/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","4"
"11/28/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","1"
"11/29/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","20"
"11/30/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","16"
"12/01/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","3"
"12/02/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","12"
"12/03/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","12"
"12/04/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","9"
"12/05/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","9"
"12/06/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","8"
"12/07/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","7"
"12/08/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","7"
"12/09/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","7"
"12/10/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","16"
"12/11/2020","25","PM2.5","PAINTED CANYON","38-007-0002","AQS","19","25"
"12/12/2020","38","PM2.5","PAINTED CANYON","38-007-0002","AQS","21","38"
"12/13/2020","23","Ozone","PAINTED CANYON","38-007-0002","AQS","23","19"
"12/14/2020","32","PM2.5","PAINTED CANYON","38-007-0002","AQS","21","32"
"12/15/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","17"
"12/16/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","0"
"12/17/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","3"
"12/18/2020","31","PM2.5","PAINTED CANYON","38-007-0002","AQS","24","31"
"12/19/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","7"
"12/20/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","3"
"12/21/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","5"
"12/22/2020","24","Ozone","PAINTED CANYON","38-007-0002","AQS","24","11"
"12/23/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","15"
"12/24/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","8"
"12/25/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","0"
"12/26/2020","22","Ozone","PAINTED CANYON","38-007-0002","AQS","22","6"
"12/27/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","17"
"12/28/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","17"
"12/29/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","11"
"12/30/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","10"
"12/31/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","3"
