Total consumption - COAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/coal/data/browser/#/topic/20?agg=1,0&geo=vvvvvvvvvvvvo&sec=g&freq=Q&start=200001&end=202203&ctype=map&ltype=pin&rtype=s&rse=0&pin=&maptype=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 22 2023 18:09:54 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
Electric power : West North Central,short tons,COAL.CONS_TOT.WNC-98.Q,--,--,--,--,35043296,31360255,37118803,34557672,34508218,32584747,38292282,37076650,37925374,33543009,39686014,37742419,37101281,33881671,39020199,37350333,37408402,34736773,39755026,37074759,36013543,33905312,39424346,37186761,36808321,34246797,40391995,36220333,38524115,34861510,39964953,36085807,36699787,33167136,37057971,37380447,37867318,35044317,38722050,34828734,37426624,34203647,39227124,34350460,32786937,29264680,37975946,33831725,34722756,31030211,37490747,33382335,36655834,30154302,36660728,33114334,33131760,29095636,34815881,26859950,28039863,24248818,34272324,27861030,28524763,26066166,33386593,28050828,29580820,27127685,33130555,29477637,29276873,21451885,29076699,24053066,22614736,17751099,27945498,23282383,26071384,22607716,31510024,21784371,25109514,20620406,30247393
Electric power : Iowa,short tons,COAL.CONS_TOT.IA-98.Q,--,--,--,--,5498332,4961733,5797687,5047260,5326058,4976605,5808611,5392293,5538573,4980605,5782146,5379114,5662864,4889793,5870502,5450101,4967181,5096382,5838502,5170031,5186794,5119530,5450236,5479875,5541875,5095103,6588277,5793351,6390135,5753927,6307541,6282182,5959964,4849193,5918684,5879053,6448090,5742557,6630459,5958596,5555308,5323091,6667318,5131052,5135151,4372012,5991475,5248608,4880436,4583597,5705057,4348191,5274640,3920480,5548026,4961986,4990875,4014957,4990480,2844128,3272603,2650174,4883213,3483321,3085470,3833979,4613270,2944962,3453752,3733225,4716820,4326003,4045973,2538640,3867416,2334950,1786049,1311169,3468563,1633298,3028021,2899998,4756961,2336848,2432785,1703199,4011619
Electric power : Kansas,short tons,COAL.CONS_TOT.KS-98.Q,--,--,--,--,5054660,4814785,5450026,4830546,5309690,5464791,6113558,5771598,5540486,5253731,5908269,5877500,5396097,5369724,5792071,5580677,5443777,5305301,6024644,5272279,4427856,4484768,6081931,5879125,5718877,5259066,6129700,5672007,5690143,4817013,5881507,5227642,5219754,4856394,5267658,5438886,5345718,5075282,5816576,4727049,4610536,5294345,5309732,4913907,4012834,3926966,5362841,4456778,4721359,4333987,5498357,4361573,4713424,4341261,5154450,3989509,3987649,4181437,4751477,2930838,3154984,3201172,4693747,3536874,2995000,2493576,4135054,2918476,3153989,2847397,3908363,3266109,3223260,2138252,3519161,2654792,2298242,2420742,3972389,2571725,2997751,3103730,3975789,2517233,2875317,2817297,4699860
Electric power : Minnesota,short tons,COAL.CONS_TOT.MN-98.Q,--,--,--,--,4638597,3923935,4966348,4898373,4909242,4093036,5030416,5055267,5071367,4934976,5467132,5255915,5085214,4458100,5285316,5241451,5397879,4963826,5212900,4433589,5093732,4699476,4914649,4865595,5106496,4493003,5122170,4456757,5261719,4294865,4888135,4317917,4836665,3894186,4286868,4337201,4441463,4315999,4234695,3589414,4627237,3859440,4460427,3567793,3272872,2562075,3771428,3777598,3646323,2759563,3593781,3765716,4477795,3505476,4179679,4371487,4061313,3360301,3587069,3450165,3469911,2761037,3756313,3699208,3417331,2610909,3663264,3667885,3493054,2892099,3548547,3878948,2927251,2485983,2767960,2422410,1984308,1119983,2880602,2482158,2617379,1593199,3102777,2046249,2874541,1350839,2922757
Electric power : Missouri,short tons,COAL.CONS_TOT.MO-98.Q,--,--,--,--,9530151,8680784,10556008,9818318,8893543,8992043,11131910,10685218,11153825,9778068,12011135,10892040,10950123,10520740,12022589,10886027,11460154,10805204,12007645,11492371,11399726,10784504,12168309,11250450,10976402,10573672,11972671,10571711,10867739,10703403,12110683,10028933,10410047,10171426,11356800,10739947,10742596,11018353,11816400,11115133,11993987,10967827,12426054,10965059,10211187,9720865,12227819,10179720,11015652,10722817,12002731,10721414,11604419,10058483,11561743,9816434,10404112,8633736,11053268,8377210,9054425,8252178,10480448,7806880,9783009,9679194,10696991,9354176,9382983,8779689,10353037,8544320,9126431,7271267,8915765,7450527,7436919,5949586,8670582,8410571,8981155,7888609,9746520,7193503,8298405,7150416,8755517
Electric power : Nebraska,short tons,COAL.CONS_TOT.NE-98.Q,--,--,--,--,3256001,2862194,3405939,3082037,2982877,2906466,3280343,3040139,3328831,2639745,3440923,3315727,3182390,2572588,3406920,3487674,3209541,2741571,3486250,3448643,3023239,2880469,3548365,3429335,2704724,2642486,3532581,3387174,3398221,3424535,3523079,3014394,3207006,3068291,3756217,4151222,3883307,3120270,3836481,3327002,3768648,3656753,4395622,3889657,3737446,3114919,4104994,3926805,3990145,3340893,4364694,4133455,3962715,3282986,4109167,3681414,3405662,3563406,4205865,3333141,3171025,2611428,3804450,3468775,3200394,2515835,3819831,3034366,3621803,3190275,3946363,3684541,3588606,2533604,3849780,3177457,3158084,2491479,3185638,2751927,2657818,2581813,3687974,2698575,2794377,2702104,3468849
Electric power : North Dakota,short tons,COAL.CONS_TOT.ND-98.Q,--,--,--,--,6475188,5576389,6383533,6359597,6498275,5631848,6437156,6680031,6752508,5449687,6464289,6506491,6180086,5514357,6087091,6133032,6339879,5562026,6675424,6739823,6350491,5524970,6693449,5729545,6277583,5754325,6473862,6132921,6286709,5351454,6671350,6583802,6474006,5864328,5991508,6263400,6365194,5313023,5843386,5591523,6282118,4605684,5520110,5648198,5987544,5167158,5953036,5687015,5929697,4916503,5849123,5593912,6128074,4603314,5691600,5866265,5946945,5341799,5962381,5535035,5549332,4422759,6265728,5569240,5683947,4633612,6088750,5804134,6001901,5317590,6274223,5508176,5851280,4115586,5741926,5620410,5604952,4293622,5458022,5123407,5424880,4308193,5842847,4893733,5477321,4554623,5890321
Electric power : South Dakota,short tons,COAL.CONS_TOT.SD-98.Q,--,--,--,--,590367,540435,559262,521541,588533,519958,490288,452104,539784,506197,612120,515632,644507,556367,555710,571370,589990,262463,509661,518022,531707,411594,567407,552836,482364,429142,572734,206412,629449,516313,582658,630937,592345,463318,480236,570738,640950,458833,544053,520017,588790,496507,447861,234794,429903,400685,564353,555201,539144,372851,477004,458074,494767,442302,416063,427239,335204,0,265341,389433,367583,350070,388425,296732,359612,299061,369433,326829,473338,367410,383202,269540,514072,368553,414691,392520,346182,164518,309702,309297,364380,232174,397156,98230,356768,341928,498470
Electric power : South Atlantic,short tons,COAL.CONS_TOT.SAT-98.Q,--,--,--,--,41999951,40207507,45754942,35416518,39988994,40922986,48001750,41710854,43799384,39869508,47321878,41042905,44222568,42007428,46738586,40716780,42699087,41701749,51063259,44084138,44303769,43235795,49625906,41580483,44991834,44680110,51072809,45136175,47132129,44603494,48970067,39192241,38106953,35379445,38740519,35738187,41203641,39320411,44819735,34273415,36030233,37284775,41288463,26005726,25381081,28422990,35483945,27692690,28139558,27187915,33732325,29081793,36392427,29729867,33324824,26764631,30061463,25718228,31526915,18597278,23532491,23520102,34141210,22861434,21192810,23393400,27564460,19808320,21197364,20860847,25125223,19413855,15559784,17439637,22858830,14683542,9513575,10666678,20088788,12824497,16697990,15326942,20323884,9174279,14368620,13263139,14099228
Electric power : Delaware,short tons,COAL.CONS_TOT.DE-98.Q,--,--,--,--,584696,384308,362640,148670,241484,397893,479329,422315,576149,339615,578679,292340,566022,483328,574994,430343,596605,379235,689456,542474,572865,500970,549262,565495,562546,498581,716877,684429,724910,511782,563613,590677,460634,191260,309799,390477,419301,272192,348361,190011,201173,224626,219346,71802,75344,177190,239000,190231,117432,178207,225310,187305,221271,113223,56074,6545,157625,35770,70164,12661,99375,6317,114692,6544,28115,17626,86110,54475,48971,25780,86739,5106,25383,1757,54318,3704,0,0,50276,25305,73548,20363,69412,8577,50655,16296,1724
